algo,k,frac,m,seed,center_idx,energy,valence,danceability,acousticness
full,2,,,,0,0.33529028929688126,0.3364342516235067,0.47560479034714986,0.7451707262687406
full,2,,,,1,0.7640596148908856,0.5205550680359434,0.5959789644843817,0.15114469370252448
full,4,,,,0,0.23277436092959447,0.19809698147671723,0.3569917074007374,0.8207507525237971
full,4,,,,1,0.7553607236818395,0.7049488593361444,0.6898357299888276,0.1595975545799545
full,4,,,,2,0.8010132947316292,0.29195215382271145,0.4721167498381014,0.07065401101519925
full,4,,,,3,0.4688097749548329,0.5234788730803974,0.6203262759710931,0.6529918333220417
full,8,,,,0,0.3210141822764392,0.37634026615586247,0.5789274120375038,0.7952384312934773
full,8,,,,1,0.7412174466491951,0.7810842381130663,0.7458315986521902,0.1457163745788094
full,8,,,,2,0.6827414786247641,0.32913524247148596,0.7015516534011652,0.11337224169606955
full,8,,,,3,0.18617227450107698,0.15638527867910984,0.28661821966977746,0.8762273805900931
full,8,,,,4,0.5252530775396207,0.26803170303975055,0.44791209405040266,0.3140717514796051
full,8,,,,5,0.8590948197264814,0.6258062163282222,0.5222605884790718,0.076599766360547
full,8,,,,6,0.594632543971701,0.7266913628770757,0.6351902328780583,0.6311040581703842
full,8,,,,7,0.894504588823262,0.2300978532485235,0.38364451612903233,0.030568627458427866
full,16,,,,0,0.7119436670254754,0.8057339433082166,0.6534976677430929,0.5724876210979548
full,16,,,,1,0.21345416122273753,0.27748062854198874,0.44956362699639363,0.8811260518633008
full,16,,,,2,0.8895872938102236,0.4968809407153356,0.4317791932059448,0.035603740328270406
full,16,,,,3,0.1718060508078551,0.10524620531941326,0.21658354461844426,0.8778158601715138
full,16,,,,4,0.8711840374214296,0.20774416021049563,0.5411792135652682,0.036488147114456915
full,16,,,,5,0.8225639955034527,0.5001377870563675,0.7027347037096515,0.08190580062469885
full,16,,,,6,0.8519977981029809,0.7610951897018969,0.5482510162601626,0.08646916306571822
full,16,,,,7,0.3772648272957035,0.3011496419545071,0.6543102358887953,0.686989048020219
full,16,,,,8,0.5441926179911255,0.6906325131101251,0.7954233561920129,0.19186319827349732
full,16,,,,9,0.4887372746073931,0.19480788596279297,0.3905223967141822,0.21849610241362644
full,16,,,,10,0.587541909989023,0.24048700329308453,0.7303402854006587,0.12096203670472008
full,16,,,,11,0.9063550724637679,0.18168173120471015,0.2715822690217391,0.03429378629076074
full,16,,,,12,0.36130541922563425,0.6865284824210058,0.6300854472630173,0.7902754784156654
full,16,,,,13,0.6242975609756097,0.4351715544715447,0.47400441347270617,0.6748308943089429
full,16,,,,14,0.8144927169094363,0.8393796706776441,0.7455935718809373,0.12064249485592152
full,16,,,,15,0.5880654416243655,0.48448629441624363,0.5725640609137056,0.21111054741928936
full,32,,,,0,0.4182087837837838,0.17733167297297298,0.2568075000000001,0.7933655405405405
full,32,,,,1,0.6004767567567568,0.7043365765765766,0.6285506306306307,0.15250379094414415
full,32,,,,2,0.900787037037037,0.4178262962962963,0.32833344444444446,0.023319166829629534
full,32,,,,3,0.770433091436865,0.5147576197387518,0.7739413642960813,0.0872022459941946
full,32,,,,4,0.534112828438949,0.7517074961360124,0.8206093508500774,0.14297826214837714
full,32,,,,5,0.7688768035516093,0.8491605623381429,0.7329271180170182,0.4938368479467259
full,32,,,,6,0.4080125432858792,0.24751419776837238,0.4651042708734129,0.6700007695267411
full,32,,,,7,0.4744956483899042,0.6786736292428198,0.520405134899913,0.7653146214099216
full,32,,,,8,0.8641168267740935,0.8632141307716146,0.6148202665013945,0.08810393225906418
full,32,,,,9,0.11332951401515134,0.07864710464015146,0.17667850378787886,0.9146889204545452
full,32,,,,10,0.46958132780082995,0.20774327800829873,0.5667659751037345,0.21173965302904565
full,32,,,,11,0.9118045370614614,0.1705998153521498,0.476061988921129,0.0230552654075441
full,32,,,,12,0.9255212385867407,0.13304941643509327,0.23469769749900765,0.03014930778880509
full,32,,,,13,0.8213367708669029,0.18473825330325488,0.6840364163712537,0.05014518253625522
full,32,,,,14,0.321640294623656,0.09942997610513737,0.21919450418160102,0.2060339124253286
full,32,,,,15,0.24744261679841906,0.4776521739130435,0.4378183794466403,0.8866837944664032
full,32,,,,16,0.7605138554216868,0.36733593975903606,0.5227180722891566,0.6819975903614457
full,32,,,,17,0.555748052631579,0.48522,0.4328184210526316,0.35772966080526314
full,32,,,,18,0.7596036712557364,0.7789812265331664,0.5412390488110138,0.566098456403838
full,32,,,,19,0.20086729985788715,0.24329227854097585,0.6028252013263856,0.8816764566556132
full,32,,,,20,0.4674905050505051,0.8334479797979798,0.7320787878787879,0.6929257575757576
full,32,,,,21,0.6790720376359894,0.3963519553072625,0.5849514848573949,0.10113515871802414
full,32,,,,22,0.4422852390852391,0.30275405405405403,0.6560715176715176,0.6450270270270271
full,32,,,,23,0.1297294636462486,0.17584186299383847,0.3841225081551287,0.9331119971003985
full,32,,,,24,0.6189163298302345,0.20373326596604702,0.39452425222312043,0.10154613953112368
full,32,,,,25,0.8688986294284975,0.6262891130074993,0.6299658650116369,0.07296033292991982
full,32,,,,26,0.9090168715353097,0.4257358399614365,0.5250867678958785,0.030401616967944023
full,32,,,,27,0.8737850184749748,0.6929334900906954,0.44122203560631507,0.051060054591871074
full,32,,,,28,0.8141312482546774,0.8384870148003349,0.7795048869030997,0.09792767831052784
full,32,,,,29,0.5833246463142219,0.5292539091586002,0.7064746835443038,0.47434437825763215
full,32,,,,30,0.5087468490878939,0.31120165837479263,0.7824784411276948,0.12112399077943614
full,32,,,,31,0.28082452773613187,0.5660409795102449,0.6844587706146926,0.8203168415792105
full,64,,,,0,0.8664193548387097,0.7218375778155065,0.7324323712507075,0.07243228442558008
full,64,,,,1,0.5514332833583209,0.5830434782608696,0.597787856071964,0.7300089955022488
full,64,,,,2,0.1931783515151515,0.42882863113897596,0.3644675026123302,0.9125830721003136
full,64,,,,3,0.8690622977346278,0.1554868122977346,0.7221618122977347,0.044884126375404454
full,64,,,,4,0.6165206286836935,0.4605088408644401,0.38080746561886053,0.1482634509724951
full,64,,,,5,0.9098894760017613,0.5435394099515632,0.49689079700572436,0.02666016194627918
full,64,,,,6,0.6346423841059603,0.3796185430463576,0.6952334437086093,0.41308029801324503
full,64,,,,7,0.527762603116407,0.8515545371219064,0.6202080659945005,0.6535902841429881
full,64,,,,8,0.9111800818553888,0.3545675306957708,0.27181555252387446,0.014491310156889481
full,64,,,,9,0.8250689928628073,0.8849460745440128,0.7431752577319588,0.41011736716891356
full,64,,,,10,0.1996138681948425,0.2260253104106972,0.6635635148042025,0.8795577841451765
full,64,,,,11,0.34859489051094894,0.10060219464720183,0.18031909975669091,0.83126399026764
full,64,,,,12,0.6607054840893704,0.16912423832092083,0.6248354773188897,0.07600376745429926
full,64,,,,13,0.6269518810148731,0.26613657042869643,0.49929133858267716,0.42238582677165354
full,64,,,,14,0.7108137384412153,0.6395620871862616,0.8374405548216644,0.09931554400264198
full,64,,,,15,0.8865086538461538,0.8756677884615385,0.6407899038461539,0.06565936372115377
full,64,,,,16,0.4727057182705718,0.31430955369595537,0.6123256624825663,0.7271722454672245
full,64,,,,17,0.9201772908366533,0.14081588147410357,0.5330139442231075,0.02378519400896406
full,64,,,,18,0.606082878953108,0.157601494002181,0.275026826608506,0.07651089304252995
