algo,k,frac,m,seed,center_idx,R,G,B
full,2,,,,0,212.0283744998021,217.96059126083918,218.90195304998755
full,2,,,,1,76.53016866009699,114.23858162323121,188.88189021466061
full,4,,,,0,95.00807063918329,55.29017744157943,111.38196338685616
full,4,,,,1,205.68452341779144,204.2234287594602,94.50266535044459
full,4,,,,2,72.57476405504431,118.25150073833106,201.64409495580722
full,4,,,,3,210.68672133029162,219.3065009755276,240.34640201992033
full,8,,,,0,60.29206729101808,117.51977800901842,198.84007630939993
full,8,,,,1,235.7272158498465,241.4470744989008,247.53307843818962
full,8,,,,2,196.378973806961,200.08959454610692,76.68421241478323
full,8,,,,3,142.61751669191477,82.24647926836103,65.04359535431709
full,8,,,,4,176.46590081708592,189.98260658522773,236.15966345764892
full,8,,,,5,123.38738026919506,139.8201300231491,216.4054143968063
full,8,,,,6,74.48482236154634,46.042293625914525,163.58145245559035
full,8,,,,7,234.87037517513397,234.64438794042758,149.75413834258725
full,16,,,,0,243.91902767512914,248.2613287345025,249.93970600312207
full,16,,,,1,68.43875139323562,119.96428619388482,200.14247921898294
full,16,,,,2,209.53918831865946,51.98432467253562,117.16748980030053
full,16,,,,3,159.2181694707326,175.91103662811082,231.76031808622508
full,16,,,,4,89.79333786539766,19.423861318830944,35.19578518014987
full,16,,,,5,235.58359151572932,238.12517874165752,157.97813393708287
full,16,,,,6,78.09686751795678,42.5946229050284,191.25109736632083
full,16,,,,7,148.28643963932424,189.34964545215774,66.6968397093585
full,16,,,,8,231.41815039798922,211.28812316715545,89.04362170088012
full,16,,,,9,117.94273271638541,100.93543821448007,154.9031028851388
full,16,,,,10,149.41500299189477,110.52613827993255,220.24212587716914
full,16,,,,11,48.47857071701857,115.20280615177116,197.71069510111184
full,16,,,,12,30.202506024096067,21.629975903614408,124.76713253012046
full,16,,,,13,204.17151717557238,214.95672312340986,241.43032363231546
full,16,,,,14,140.22959858844288,112.64887516541694,43.76179973533229
full,16,,,,15,104.72433759913484,147.2819033886085,216.48147981254505
full,32,,,,0,125.93273542600897,161.9273542600897,224.56264573991035
full,32,,,,1,249.89130265312204,252.8626146610232,253.5269339708443
full,32,,,,2,69.35080424309632,117.19465030236019,195.52845310351773
full,32,,,,3,140.33687205866266,187.80606325927548,60.648571741271894
full,32,,,,4,24.723130390011164,17.612047882610426,117.03758527481014
full,32,,,,5,109.60833806012477,75.01162790697668,146.9177538287011
full,32,,,,6,237.97078736208655,238.04124874623932,164.27507522567697
full,32,,,,7,185.23756929104314,198.30229650314672,238.84741382903337
full,32,,,,8,224.78884596001998,176.12397110700496,76.92104821098643
full,32,,,,9,179.18007136975024,117.02744990392536,50.080702717540305
full,32,,,,10,78.66630425692043,37.01388308104093,198.31496194697667
full,32,,,,11,113.13565813344084,105.78512396694231,36.74198750251881
full,32,,,,12,180.17631449631438,147.35420147420146,234.00786240786246
full,32,,,,13,227.96888619395907,236.00981543942123,247.33789365975701
full,32,,,,14,44.918754349340674,110.99812495167333,191.66875434933868
full,32,,,,15,153.51486280487802,181.44998094512198,232.327743902439
full,32,,,,16,220.4889696340506,53.452374772903866,113.1863483000259
full,32,,,,17,53.327519656897806,33.84531808434595,162.7090779127949
full,32,,,,18,226.55028764134073,247.24737155326352,130.25292600674473
full,32,,,,19,100.99028430357569,143.90531177829098,213.7041490801943
full,32,,,,20,240.80192192192243,230.46042042042038,79.9242042042044
full,32,,,,21,162.20367682631846,129.9013062409289,201.63413159167877
full,32,,,,22,73.72087346084714,129.5579311639886,209.83746009603774
full,32,,,,23,249.6175738171464,252.50231234435978,205.75257915332625
full,32,,,,24,53.20931546582162,118.37054685513563,202.52572300332432
full,32,,,,25,131.61837717673217,87.44868469803629,232.19303445720638
full,32,,,,26,208.7378848926179,218.95871067903755,241.61146638080828
full,32,,,,27,127.66482649842268,123.77306782334387,131.25808359621445
full,32,,,,28,90.75621007806953,18.269339957416804,34.74059616749497
full,32,,,,29,116.86828931469013,95.50129466597616,179.2357155187295
full,32,,,,30,240.83595641646613,198.4658999192896,125.0377320419693
full,32,,,,31,171.10249929795003,217.7000842459983,100.94411682111752
full,64,,,,0,194.7108349203167,208.5663024957402,229.57381978550666
full,64,,,,1,72.23453899398211,117.94748084704341,194.09495347834115
full,64,,,,2,167.08695652173915,216.69941471571929,87.1371237458193
full,64,,,,3,136.14358712314768,154.54573326520185,49.477261113949936
full,64,,,,4,233.10819902595767,240.45353215845762,249.12105236732447
full,64,,,,5,139.37224329259726,167.1212248911364,214.88621997471554
full,64,,,,6,34.06029268292684,22.78360975609759,135.92390243902432
full,64,,,,7,76.81310082718511,33.625307399955986,198.49619941873462
full,64,,,,8,178.877618522602,40.72877618522605,62.68357221609702
full,64,,,,9,251.14292015880005,244.3489192765771,119.42523158359066
full,64,,,,10,49.42227548614207,119.91753972242623,203.8299957474776
full,64,,,,11,141.88511161171414,112.16014745033787,196.5123899242269
full,64,,,,12,139.30852235190488,96.0118916538207,235.2387139396609
full,64,,,,13,128.1330780277645,89.20105313547148,33.11345141215898
