algo,k,frac,m,seed,center_idx,latitude,longitude,price
full,2,,,,0,37.711777236050246,-122.46288438292166,157.19774466371325
full,2,,,,1,37.772660238649095,-122.41934886653031,251.088161209068
full,4,,,,0,37.75416238237436,-122.47517125041323,164.84242021276594
full,4,,,,1,37.77181514702955,-122.41800629900295,193.25823529411764
full,4,,,,2,37.66647194175456,-122.44561307671032,154.84729493891797
full,4,,,,3,37.78176689117514,-122.42240773719388,1288.2302405498283
full,8,,,,0,37.78626814568664,-122.41107667586735,163.3669127225358
full,8,,,,1,37.75978719143792,-122.48548273414465,163.2290322580645
full,8,,,,2,37.64201550795575,-122.41626177880107,151.45093457943926
full,8,,,,3,37.77572177833294,-122.42487825475234,617.527397260274
full,8,,,,4,37.740181660159614,-122.41451014097214,149.10074074074072
full,8,,,,5,37.683057021185554,-122.46944897580448,152.54487179487177
full,8,,,,6,37.7700340456679,-122.43978659544264,175.8481262327416
full,8,,,,7,37.78175999184999,-122.42007689988014,1687.1724137931037
full,16,,,,0,37.788450881611645,-122.4146437064631,130.49675324675326
full,16,,,,1,37.64587742360395,-122.4749907624265,204.09183673469389
full,16,,,,2,37.721460494182224,-122.44386569810001,123.99773242630383
full,16,,,,3,37.78896361968569,-122.4111574260248,402.07459207459203
full,16,,,,4,37.78086064738778,-122.41836438332773,1751.2913385826773
full,16,,,,5,37.6412234759095,-122.41514883087876,149.1453634085213
full,16,,,,6,37.75753050863507,-122.49836609735146,151.95419847328245
full,16,,,,7,37.77575450271048,-122.44054365801027,159.5065065065065
full,16,,,,8,37.777348714064594,-122.39693170224918,191.71943887775552
full,16,,,,9,37.75834855019647,-122.43219063196493,437.69696969696975
full,16,,,,10,37.78424730001061,-122.42517914594387,892.6613756613756
full,16,,,,11,37.72527374641619,-122.39738964689026,121.74098360655738
full,16,,,,12,37.699489099195574,-122.47174621735071,129.46448087431693
full,16,,,,13,37.76764845981135,-122.4775864558382,509.36274509803917
full,16,,,,14,37.76353217913736,-122.47396486075135,125.15020576131685
full,16,,,,15,37.752925622566984,-122.42018611086371,141.22243528283795
full,32,,,,0,37.75171692231053,-122.41050574208714,514.7653061224489
full,32,,,,1,37.74326248258493,-122.42401378886626,124.58571428571427
full,32,,,,2,37.74544075171569,-122.48215639750435,120.86909090909089
full,32,,,,3,37.788757288235296,-122.40839420705882,1767.9764705882362
full,32,,,,4,37.76979050997945,-122.42403655190154,123.3284552845528
full,32,,,,5,37.6722252860972,-122.45875509995021,552.9591836734694
full,32,,,,6,37.785850768901504,-122.42425164465395,790.3157894736839
full,32,,,,7,37.62358268225729,-122.41310469341565,151.4869109947644
full,32,,,,8,37.76317557196604,-122.43878327507522,296.8080495356037
full,32,,,,9,37.77315961551252,-122.47358935935208,130.87579617834393
full,32,,,,10,37.78707520082518,-122.41013960437613,111.84243964421854
full,32,,,,11,37.68574555431974,-122.48437309558626,130.5398773006135
full,32,,,,12,37.70984633685655,-122.46177026514633,114.45283018867924
full,32,,,,13,37.78162524644824,-122.39381363032295,201.04088050314465
full,32,,,,14,37.638735907355674,-122.48636722315554,221.56934306569343
full,32,,,,15,37.793473661621064,-122.43828671979698,203.87226277372264
full,32,,,,16,37.72577828073449,-122.39636361016127,113.16858237547892
full,32,,,,17,37.75383848091161,-122.40659999309437,133.20999999999998
full,32,,,,18,37.768258429384524,-122.43953289705578,530.530864197531
full,32,,,,19,37.7480858634914,-122.41679865126522,308.91743119266056
full,32,,,,20,37.77387626650625,-122.44625745669008,1731.611111111111
full,32,,,,21,37.790658971040116,-122.41154487225897,253.90063424947147
full,32,,,,22,37.78525118638907,-122.42521480132629,1090.9714285714285
full,32,,,,23,37.79165833755136,-122.41073347288072,464.38048780487804
full,32,,,,24,37.65199522480472,-122.39921512835556,1602.8000000000002
full,32,,,,25,37.766841205706925,-122.44556626233769,119.01066098081024
full,32,,,,26,37.76850356702245,-122.48129784750105,496.46153846153857
full,32,,,,27,37.762383878980195,-122.5019368440807,161.5054945054945
full,32,,,,28,37.66103791599441,-122.41242858955789,131.10439560439562
full,32,,,,29,37.64863860292634,-122.45427754537594,122.90510948905109
full,32,,,,30,37.793709127853504,-122.42278011628012,102.74045801526715
